name,pos,team,targets,rec,rec_yds,rec_td,rec_first_down,rec_air_yds,rec_air_yds_per_rec,rec_yac,rec_yac_per_rec,rec_adot,rec_broken_tackles,rec_broken_tackles_per_rec,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating,week
Puka Nacua,WR,LAR,20,15,147,0,7.0,78,5.2,69,4.6,6.4,0,0.0,3,0.15,0,95.2,2
Tutu Atwell,WR,LAR,9,7,77,0,6.0,73,10.4,4,0.6,11.3,0,0.0,0,0.0,0,102.3,2
Kyren Williams,RB,LAR,10,6,48,1,3.0,-8,-1.3,56,9.3,0.1,0,0.0,2,0.2,1,65.8,2
Tyler Higbee,TE,LAR,7,3,12,0,0.0,9,3.0,3,1.0,3.6,0,0.0,1,0.14,0,50.3,2
Van Jefferson,WR,LAR,4,1,9,0,0.0,10,10.0,-1,-1.0,19.0,0,0.0,0,0.0,1,0.0,2
Ronnie Rivers,RB,LAR,1,1,4,0,0.0,-1,-1.0,5,5.0,-1.0,0,0.0,0,0.0,0,83.3,2
Ben Skowronek,WR,LAR,1,1,10,0,1.0,2,2.0,8,8.0,2.0,0,0.0,0,0.0,0,108.3,2
