name,pos,team,targets,rec,rec_yds,rec_td,rec_first_down,rec_air_yds,rec_air_yds_per_rec,rec_yac,rec_yac_per_rec,rec_adot,rec_broken_tackles,rec_broken_tackles_per_rec,rec_drops,rec_drop_pct,rec_target_int,rec_pass_rating,week
Darren Waller,TE,NYG,5,3,36,0,2.0,22,7.3,14,4.7,8.0,0,0.0,0,0.0,1,42.5,1
Saquon Barkley,RB,NYG,4,3,12,0,2.0,0,0.0,12,4.0,1.5,1,3.0,1,0.25,1,37.5,1
Darius Slayton,WR,NYG,5,3,15,0,0.0,8,2.7,7,2.3,7.0,0,0.0,0,0.0,0,64.6,1
Lawrence Cager,TE,NYG,2,2,17,0,1.0,2,1.0,15,7.5,1.0,0,0.0,0,0.0,0,102.1,1
Gary Brightwell,RB,NYG,2,2,6,0,0.0,-10,-5.0,16,8.0,-5.0,0,0.0,0,0.0,0,79.2,1
Isaiah Hodgins,WR,NYG,3,1,24,0,0.0,9,9.0,15,15.0,9.3,0,0.0,0,0.0,0,63.2,1
Parris Campbell,WR,NYG,4,1,2,0,0.0,2,2.0,0,0.0,4.8,0,0.0,1,0.25,0,39.6,1
Matt Breida,RB,NYG,1,1,-3,0,0.0,-3,-3.0,0,0.0,-5.0,0,0.0,0,0.0,0,79.2,1
Daniel Bellinger,TE,NYG,1,1,1,0,0.0,1,1.0,0,0.0,1.0,0,0.0,0,0.0,0,79.2,1
Jalin Hyatt,WR,NYG,1,0,0,0,0.0,0,0.0,0,0.0,14.0,0,0.0,1,1.0,0,39.6,1
Sterling Shepard,WR,NYG,1,0,0,0,0.0,0,0.0,0,0.0,11.0,0,0.0,0,0.0,0,39.6,1
